Labels,Title,State,Date,URL,Author
enhancement,Add threshold support to phosphor-hwmon,open,2016-11-11,https://github.com/openbmc/openbmc/issues/792,bradbishop
enhancement,Create udev-rule generating recipe,open,2016-11-11,https://github.com/openbmc/openbmc/issues/791,bradbishop
enhancement,Remove all hardcoded sensor object path roots,open,2016-11-11,https://github.com/openbmc/openbmc/issues/790,bradbishop
enhancement,Remove all hardcoded org.openbmc.Sensorxxx busname lookups,open,2016-11-11,https://github.com/openbmc/openbmc/issues/789,bradbishop
enhancement,Create a bitbake recipe for phosphor-hwmon,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/788,bradbishop
enhancement,Create DBus objects for runtime discovered sensors,open,2016-11-11,https://github.com/openbmc/openbmc/issues/787,bradbishop
enhancement,Implement org.freedesktop.DBus.ObjectManager in phosphor-hwmon,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/786,bradbishop
,PNOR mtd device needs label,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/785,shenki
,chassisctl refactor - Host and LED interfaces,open,2016-11-10,https://github.com/openbmc/openbmc/issues/784,geissonator
,Host state management and control ,open,2016-11-10,https://github.com/openbmc/openbmc/issues/783,geissonator
,DBUS support for bmc reboot,closed,2016-11-10,https://github.com/openbmc/openbmc/issues/782,geissonator
,Map IPMI sensors to appropriate inventory objects,open,2016-11-10,https://github.com/openbmc/openbmc/issues/781,geissonator
Epic,Network refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/780,geissonator
Epic,IPMI provider refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/779,geissonator
Epic,Sensors refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/778,geissonator
Epic,Inventory Refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/777,geissonator
,rstbutton refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/776,geissonator
,pytools refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/775,geissonator
,systemmgr refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/774,geissonator
,statemgr refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/773,geissonator
prio_high,BMC state management and control,open,2016-11-10,https://github.com/openbmc/openbmc/issues/772,geissonator
,pwrbutton refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/771,geissonator
,pciedetect refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/770,geissonator
,pwrctl refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/769,geissonator
,hostctl refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/768,geissonator
,hostwatchdog refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/767,geissonator
,hostcheckstop refactor,open,2016-11-10,https://github.com/openbmc/openbmc/issues/766,geissonator
,Move IPMI to use systemd to perform BMC reboots,open,2016-11-10,https://github.com/openbmc/openbmc/issues/765,geissonator
Epic,Sprint 16.11.16 - Actual,open,2016-11-10,https://github.com/openbmc/openbmc/issues/764,williamspatrick
Epic,Sprint 16.11.16 - Committed,open,2016-11-10,https://github.com/openbmc/openbmc/issues/763,williamspatrick
,Witherspoon: LPC mapping support,closed,2016-11-10,https://github.com/openbmc/openbmc/issues/762,yadlapati
,Make btbridged socket activated,open,2016-11-10,https://github.com/openbmc/openbmc/issues/761,shenki
bug,"[Barreleye VERSION_ID=""v1.99.0-237-gb02da7b] Failed to start Phosphor IPMI BT DBus Bridge.",closed,2016-11-10,https://github.com/openbmc/openbmc/issues/760,gkeishin
,[Barreleye v1.0-stable] Fail to boot host because of pflash has stuck,open,2016-11-10,https://github.com/openbmc/openbmc/issues/759,johnhcwang
,Handle OCC error conditions in hwmon driver,open,2016-11-09,https://github.com/openbmc/openbmc/issues/758,eddiejames
bug,inventory: add mechanism to change a property,open,2016-11-08,https://github.com/openbmc/openbmc/issues/757,bradbishop
,inventory: wrap sdbusplus interfaces with sdbusplus object,closed,2016-11-08,https://github.com/openbmc/openbmc/issues/756,bradbishop
,"[Barreleye ""v1.99.0-226-g068b41c""] Failed to start Restore Last State.",open,2016-11-08,https://github.com/openbmc/openbmc/issues/755,gkeishin
,Debug tarball busybox is built into all images,closed,2016-11-08,https://github.com/openbmc/openbmc/issues/754,shenki
,Add rsync to the image,open,2016-11-08,https://github.com/openbmc/openbmc/issues/753,shenki
,BMP280 needs to be enabled in witherspoon.cfg,closed,2016-11-07,https://github.com/openbmc/openbmc/issues/752,spinler
,Witherspoon: UCD driver is claiming device but raw access required for workarounds,open,2016-11-07,https://github.com/openbmc/openbmc/issues/751,yadlapati
,[ Barreleye v1.99.0-220-ge7b0fd5 ] System went for maintenance mode post reboot,closed,2016-11-07,https://github.com/openbmc/openbmc/issues/750,gkeishin
bug,obmc-console-server not starting,closed,2016-11-07,https://github.com/openbmc/openbmc/issues/749,shenki
,Romulus Power-On,open,2016-11-04,https://github.com/openbmc/openbmc/issues/748,mine260309
,pflash fails on barreleye with latest e7b0fd5 (flasher and mtd fixes),closed,2016-11-04,https://github.com/openbmc/openbmc/issues/747,geissonator
